Optimizer,Run_Number,Run_Time_Seconds,Best_Score,Best_CV_Accuracy,Mean_CV_Accuracy,Std_CV_Accuracy,Mean_F1_Score,Mean_Precision,Mean_Recall,Dataset
iPSOgs,1,932.7369566,0.95092699,0.95092699,0.950923159,0.008486214,0.948164036,0.966553349,0.931122031,NSCLC
iPSOgs,2,576.5726874,0.951800352,0.951800352,0.950045966,0.013749747,0.947237595,0.966409974,0.929287469,NSCLC
iPSOgs,3,212.3200245,0.953558569,0.953558569,0.953554738,0.011613365,0.950957252,0.970039549,0.932940213,NSCLC
iPSOgs,4,347.5883462,0.956174826,0.956174826,0.94829158,0.010882362,0.945484364,0.962852568,0.929287469,NSCLC
iPSOgs,5,507.4277244,0.954431931,0.954431931,0.952681376,0.008892331,0.949949625,0.970174489,0.931122031,NSCLC
iPSOgs,6,892.8608203,0.953547077,0.953547077,0.953547077,0.009856997,0.951135729,0.966972055,0.936543817,NSCLC
iPSOgs,7,1015.329991,0.951792691,0.951792691,0.951788861,0.011123146,0.949319983,0.963142854,0.936527437,NSCLC
iPSOgs,8,295.0929234,0.952681376,0.952681376,0.948295411,0.013399296,0.945177831,0.968126288,0.923849304,NSCLC
iPSOgs,9,1134.241491,0.952669884,0.952669884,0.952669884,0.01222912,0.950111758,0.966814732,0.934725635,NSCLC
iPSOgs,10,584.8227801,0.953550908,0.953550908,0.953550908,0.009839317,0.951057481,0.968356005,0.934742015,NSCLC
iPSOgs,11,1087.828435,0.952681376,0.952681376,0.951804183,0.011399376,0.948999307,0.968554539,0.931138411,NSCLC
iPSOgs,12,407.4081006,0.952669884,0.952669884,0.952669884,0.01222912,0.949997273,0.968123827,0.932907453,NSCLC
iPSOgs,13,371.0502505,0.953558569,0.953558569,0.951804183,0.011056722,0.949072995,0.968252096,0.931122031,NSCLC
iPSOgs,14,283.7122121,0.953562399,0.953562399,0.95092699,0.006962009,0.948350711,0.964665501,0.932956593,NSCLC
iPSOgs,15,698.0632553,0.950923159,0.950923159,0.949168773,0.010222267,0.946470308,0.961405112,0.932923833,NSCLC
iPSOgs,16,398.2075982,0.951800352,0.951800352,0.951800352,0.018179006,0.949201204,0.964687868,0.934758395,NSCLC
iPSOgs,17,1079.598163,0.950049797,0.950049797,0.950049797,0.010566611,0.946912534,0.970234786,0.925683866,NSCLC
iPSOgs,18,380.1120629,0.955312955,0.955312955,0.956190148,0.017506755,0.95359425,0.973888571,0.934774775,NSCLC
iPSOgs,19,461.4557765,0.951796522,0.951796522,0.953550908,0.010222859,0.951165215,0.965002529,0.938361998,NSCLC
