Iteration,Run,iPSOgs,ESSA,GWO,PSO,QPSOL,SRA,SSALEO
0,1,0.05520953,0.058718302,0.062223244,0.060468858,0.052589443,0.05784494,0.053462805
1,1,0.050831227,0.058718302,0.052581782,0.060468858,0.052589443,0.053466636,0.049954034
2,1,0.050831227,0.058714472,0.052581782,0.060468858,0.052589443,0.053466636,0.048203478
3,1,0.050831227,0.058714472,0.052581782,0.058718302,0.052589443,0.053466636,0.048203478
4,1,0.049954034,0.054332337,0.049954034,0.056956255,0.051719911,0.053462805,0.048203478
5,1,0.049954034,0.054332337,0.049954034,0.05520953,0.05170842,0.05171225,0.048203478
6,1,0.049954034,0.052581782,0.049954034,0.05520953,0.050838888,0.05171225,0.048203478
7,1,0.049954034,0.052581782,0.049954034,0.054336168,0.049080671,0.05171225,0.048203478
8,1,0.049954034,0.052581782,0.049954034,0.050831227,0.049080671,0.05171225,0.048203478
9,1,0.049954034,0.052581782,0.049954034,0.050831227,0.049080671,0.05171225,0.048203478
10,1,0.049954034,0.052581782,0.049954034,0.050831227,0.048203478,0.05171225,0.048203478
11,1,0.049950203,0.052581782,0.049954034,0.050831227,0.048203478,0.05170842,0.048203478
12,1,0.049950203,0.052581782,0.049954034,0.050831227,0.048203478,0.05170842,0.048203478
13,1,0.049950203,0.05170842,0.049954034,0.050831227,0.048203478,0.05170842,0.048203478
14,1,0.049950203,0.05170842,0.049954034,0.050827396,0.048203478,0.05170842,0.048203478
15,1,0.049950203,0.05170842,0.049954034,0.050827396,0.048203478,0.05170842,0.048203478
16,1,0.049950203,0.05170842,0.049954034,0.050827396,0.048203478,0.050831227,0.048203478
17,1,0.049950203,0.05170842,0.049954034,0.050827396,0.048203478,0.050831227,0.048203478
18,1,0.049950203,0.05170842,0.049954034,0.050827396,0.048203478,0.050831227,0.048203478
19,1,0.04907301,0.05170842,0.049954034,0.050827396,0.048203478,0.050831227,0.048203478
0,2,0.05520953,0.058718302,0.062223244,0.060468858,0.052589443,0.05784494,0.053462805
1,2,0.052585613,0.053462805,0.050835057,0.054324676,0.050831227,0.053462805,0.050827396
2,2,0.050831227,0.052581782,0.050835057,0.054324676,0.049084502,0.053462805,0.050827396
3,2,0.050831227,0.052581782,0.048211139,0.054324676,0.049084502,0.05171225,0.050827396
4,2,0.050831227,0.052581782,0.048211139,0.052585613,0.049084502,0.05171225,0.044690876
5,2,0.050827396,0.052581782,0.048211139,0.052585613,0.049080671,0.05171225,0.044690876
6,2,0.050827396,0.051704589,0.048211139,0.052585613,0.049080671,0.05171225,0.044690876
7,2,0.050827396,0.050831227,0.048211139,0.052581782,0.047330116,0.05171225,0.044690876
8,2,0.050827396,0.049954034,0.048211139,0.052581782,0.047330116,0.05171225,0.044690876
9,2,0.049954034,0.049954034,0.048211139,0.052581782,0.047330116,0.05171225,0.044690876
10,2,0.049076841,0.049954034,0.048211139,0.048203478,0.047330116,0.05171225,0.044690876
11,2,0.04907301,0.049954034,0.048211139,0.048203478,0.047330116,0.05171225,0.044690876
12,2,0.048199648,0.049954034,0.048211139,0.048203478,0.047330116,0.05171225,0.044690876
13,2,0.048199648,0.049954034,0.047326285,0.048203478,0.047330116,0.05171225,0.044690876
14,2,0.048199648,0.049954034,0.047326285,0.048203478,0.047330116,0.05171225,0.044690876
15,2,0.048199648,0.049954034,0.047326285,0.047326285,0.047330116,0.050827396,0.044690876
16,2,0.048199648,0.049954034,0.047326285,0.047326285,0.047330116,0.050827396,0.044690876
17,2,0.048199648,0.049950203,0.047326285,0.047326285,0.047330116,0.049950203,0.044690876
18,2,0.048199648,0.049950203,0.047326285,0.047326285,0.047330116,0.049950203,0.044690876
19,2,0.048199648,0.049950203,0.047326285,0.047326285,0.047330116,0.049950203,0.044690876
0,3,0.05520953,0.058718302,0.062223244,0.060468858,0.052589443,0.05784494,0.053462805
1,3,0.049076841,0.053458975,0.054339998,0.049080671,0.053462805,0.056090554,0.050835057
2,3,0.049076841,0.053458975,0.049950203,0.049080671,0.051716081,0.052589443,0.050831227
3,3,0.048199648,0.053458975,0.049950203,0.049080671,0.051716081,0.052581782,0.049957864
4,3,0.047326285,0.051704589,0.049950203,0.049080671,0.051716081,0.052581782,0.049954034
5,3,0.047326285,0.049954034,0.049950203,0.049080671,0.051716081,0.052581782,0.049954034
6,3,0.047326285,0.049954034,0.049950203,0.049080671,0.051716081,0.050835057,0.049954034
7,3,0.047326285,0.049954034,0.048203478,0.048203478,0.051716081,0.049965525,0.049950203
8,3,0.047326285,0.049954034,0.048203478,0.048203478,0.051716081,0.049950203,0.049950203
9,3,0.047326285,0.049954034,0.048203478,0.048203478,0.051716081,0.049950203,0.049950203
10,3,0.047326285,0.049954034,0.048203478,0.048203478,0.05170842,0.049950203,0.049950203
11,3,0.047326285,0.049954034,0.048203478,0.048203478,0.05170842,0.049950203,0.049950203
12,3,0.047322455,0.049954034,0.048203478,0.048203478,0.05170842,0.049076841,0.049950203
13,3,0.047322455,0.049954034,0.048203478,0.048203478,0.05170842,0.049076841,0.049950203
14,3,0.047322455,0.049954034,0.048203478,0.048203478,0.05170842,0.049076841,0.049950203
15,3,0.046441431,0.049954034,0.048199648,0.048203478,0.05170842,0.049076841,0.048207309
16,3,0.046441431,0.049954034,0.048199648,0.048203478,0.05170842,0.049076841,0.048207309
17,3,0.046441431,0.049954034,0.047330116,0.048203478,0.05170842,0.049076841,0.048207309
18,3,0.046441431,0.049954034,0.047330116,0.048203478,0.051704589,0.049076841,0.048207309
19,3,0.046441431,0.049954034,0.047330116,0.048203478,0.051704589,0.048199648,0.048207309
0,4,0.05520953,0.058718302,0.062223244,0.060468858,0.052589443,0.05784494,0.053462805
1,4,0.050831227,0.053455144,0.049961695,0.052589443,0.049957864,0.056090554,0.05171225
2,4,0.050827396,0.053455144,0.049080671,0.052589443,0.049957864,0.053458975,0.048203478
3,4,0.050827396,0.053455144,0.049080671,0.052589443,0.049957864,0.050835057,0.048203478
4,4,0.046456753,0.053455144,0.047330116,0.052589443,0.049957864,0.050835057,0.048203478
5,4,0.046456753,0.053455144,0.047330116,0.052589443,0.047330116,0.050835057,0.048203478
6,4,0.046456753,0.050827396,0.047330116,0.052589443,0.047330116,0.050835057,0.048203478
7,4,0.046456753,0.050827396,0.047330116,0.052589443,0.047330116,0.047330116,0.048203478
8,4,0.046456753,0.050827396,0.047330116,0.049954034,0.047330116,0.047330116,0.048203478
9,4,0.046456753,0.050827396,0.047330116,0.049069179,0.047330116,0.047330116,0.048203478
10,4,0.046456753,0.050827396,0.047330116,0.049069179,0.047330116,0.047330116,0.048203478
11,4,0.046456753,0.049954034,0.047330116,0.049069179,0.047330116,0.047330116,0.048203478
12,4,0.04557956,0.049954034,0.047330116,0.049069179,0.047330116,0.047330116,0.048203478
13,4,0.04557956,0.049954034,0.047330116,0.046449092,0.047330116,0.047330116,0.048203478
